brand,model,screen_size (inches),color,harddisk (in GB),cpu,ram (GB),OS,special_features,graphics,graphics_coprocessor,cpu_speed (GHz),rating,price
ASUS,ROG Strix G15,15.60,Eclipse Gray,1000.00,AMD Ryzen 7,16.00,Windows 11 Home,Anti Glare Coating,Dedicated,,,4.60,1044.77
Lenovo,IdeaPad 3,15.60,Blue,64.00,Celeron P4500,8.00,Chrome OS,Narrow,Integrated,,,4.20,294.29
acer,"2023 Newest Acer 15.6"" Chromebook",15.60,Silver,64.00,Celeron N4020,4.00,Chrome OS,Anti-glare,Integrated,,,4.20,224.00
ASUS,Chromebook C425 Clamshell,14.00,Silver,128.00,Celeron N4020,4.00,Chrome OS,"Anti-glare,Ultra-narrow Bezel",Integrated,,,4.30,225.82
Lenovo,Flex 5,14.00,,256.00,AMD Ryzen 5 5500U,16.00,Windows 11 Home,,Integrated,AMD Radeon R5,2.10,4.20,539.99
acer,A115-32-C96U,15.60,Silver,128.00,Celeron N,4.00,Windows 11 S,,Integrated,Intel UHD Graphics,,4.30,229.99
ASUS,ROG Flow Z13,13.40,Black,1000.00,Core i9,16.00,Windows 11 Home,Stylus,Dedicated,,,4.40,1749.99
HP,HP,15.60,Touchscreen,1000.00,Core i3-1115G4E,16.00,Windows 11 Home,,Integrated,Intel Iris Xe Graphics,,4.50,465.00
ASUS,ROG Strix SCAR 16,16.00,Off Black,2 TB,Core i9,32.00,Windows 11 Pro,Anti Glare Coating,Dedicated,,,4.10,3349.00
ASUS,ROG Strix SCAR 18,18.00,Black,2 TB,Intel Core i9,32.00,Windows 11 Pro,Anti Glare Coating,Dedicated,,,4.30,3899.00
MSI,Stealth GS66 12UGS-025,15.60,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.80,1.00,1699.00
DELL,Inspiron,16.00,Silver,1000.00,Intel Core i5,32.00,Windows 11,,Integrated,Intel,,,899.99
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,,1.80,5.00,1599.00
LG,17Z90Q-K.ADB9U1,17.00,Black,2 TB,Core i7,32.00,Windows 11 Home,Lightweight,Intel XE,,,4.30,1734.71
ASUS,ROG Flow Z13,13.40,Acronym,1000.00,Core i9,32.00,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 4070,,4.20,2499.99
Lenovo,Chromebook,11.60,Black,32.00,MediaTek MT8183,4.00,Chrome OS,Anti-glare,Integrated,,,4.30,114.74
Microsoft,Surface Laptop,15.00,Platinum,512.00,Intel Core i7,16.00,Windows 11 Home,"Backlit Keyboard, Support Stylus",Integrated,,,4.40,1084.66
ASUS,TUF Dash 15 (2022),15.60,Off Black,512.00,Core i7,16.00,Windows 11 Home,Backlit Keyboard,RTX 3060,,,4.50,1150.99
ASUS,TUF Gaming A15,15.60,Mecha Gray,1000.00,Ryzen 7,16.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4050,,4.30,1149.00
